meas_pres_DF,meas_pres_F,meas_pres_G,angle_deg,velocity,flag,force_N,time,exp_mode,cmd_DF,cmd_F,cmd_G
-0.025141570300597778,0.20830725927848304,-0.014564441480873094,-1.44,9.9,1.0,0.4983672597430129,46.83,1,0.0,0.2,0.0
-0.0025163059896265855,0.20848078150766902,-0.0069629204247775005,-1.44,9.9,1.0,0.43733024079102023,46.835,1,0.0,0.2,0.0
0.00544535645878984,0.21032722868760068,-0.00252294476046835,-1.44,9.9,1.0,0.4068117313150239,46.84,1,0.0,0.2,0.0
-0.003150285979252272,0.20227772588726706,0.0025978635290911517,-1.44,9.9,1.0,0.42207098605302207,46.845,1,0.0,0.2,0.0
-0.016441167826124124,0.19952216554237498,0.0021880876481596228,-1.44,9.9,1.0,0.3762932218390276,46.85,1,0.0,0.2,0.0
-0.012733876745786812,0.2006795038448473,0.0001241915391698954,-1.44,9.9,1.0,0.5594042786950055,46.855000000000004,1,0.0,0.2,0.0
-1.0157312677324456e-05,0.2055836454958904,-0.003163745135197329,-1.44,9.9,1.0,0.4831080050050147,46.86,1,0.0,0.2,0.0
0.0052244667764477235,0.21035773011327036,-0.005545882650001851,-1.44,9.9,1.0,0.7577745902890385,46.865,1,0.0,0.2,0.0
0.004903033580739227,0.2068306147526654,-0.005277903956928205,-1.44,9.9,1.0,0.31525620288703493,46.87,1,0.0,0.2,0.0
0.0017263595557818652,0.2084345861480639,-0.0004965329512351218,-1.44,9.9,1.0,0.6814783165989908,46.875,1,0.0,0.2,0.0
-0.014686423885662851,0.1980412461478421,0.0017862864185187663,-1.44,9.9,1.0,0.46784875026701656,46.88,1,0.0,0.2,0.0
-0.02336095082209262,0.20130237301161777,-0.004948039228929337,-1.44,9.9,1.0,0.4068117313150239,46.885,1,0.0,0.2,0.0
-0.011028016130609128,0.2008349162113701,-0.001502268416734674,-1.44,9.9,1.0,0.2084414197210478,46.89,1,0.0,0.2,0.0
-0.007225485523170115,0.20357829283964204,-0.004096023801412682,-1.44,9.9,1.0,0.5441450239570074,46.895,1,0.0,0.2,0.0
-0.0013461712792895392,0.20511953580226103,-0.0009370246157217753,-1.44,9.9,1.0,0.26947843867304044,46.9,1,0.0,0.2,0.0
-0.01219631421977038,0.20407685861933675,-0.006221542060674346,-1.44,9.9,1.0,0.513626514481011,46.905,1,0.0,0.2,0.0
-0.01754645985262239,0.20092742843144054,-0.008305219673937636,-1.44,9.9,1.0,0.4068117313150239,46.910000000000004,1,0.0,0.2,0.0
-0.0019595760054663034,0.20549699093926543,-0.005067046058479124,-1.44,9.9,1.0,0.513626514481011,46.915,1,0.0,0.2,0.0
-0.013869511002904551,0.19987174594851864,0.0013815357503877419,-1.44,9.9,1.0,0.1626636555070533,46.92,1,0.0,0.2,0.0
-0.02310667414044093,0.20252902429202763,-0.009982258200519113,-1.44,9.9,1.0,0.6357005523849963,46.925000000000004,1,0.0,0.2,0.0
-0.0334874434752087,0.19905475683097165,-0.008313656943570216,-1.44,9.9,1.0,0.2084414197210478,46.93,1,0.0,0.2,0.0
-0.01682082710676435,0.20771658238208668,-0.006294755315831277,-1.44,9.9,1.0,0.43733024079102023,46.935,1,0.0,0.2,0.0
